ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2011-241,8/29/2011,9/5/2011,STD,0.541,154265686,0.55,168796120,-0.009,0.509,0.575
2011-249,9/6/2011,9/13/2011,STD,0.523,149901929,0.536,168781608,-0.013,0.513,0.559
2011-257,9/14/2011,9/21/2011,STD,0.507,147563058,0.523,168734539,-0.016,0.492,0.548
2011-265,9/22/2011,9/29/2011,STD,0.474,138852889,0.507,168477990,-0.033,0.474,0.53
2011-273,9/30/2011,10/7/2011,STD,0.475,147660391,0.492,167808193,-0.017,0.459,0.508
2011-281,10/8/2011,10/15/2011,STD,0.462,141948290,0.476,166022262,-0.014,0.455,0.5
2011-289,10/16/2011,10/23/2011,STD,0.443,137170698,0.46,163297886,-0.017,0.439,0.474
2011-297,10/24/2011,10/31/2011,STD,0.427,125058314,0.444,157554566,-0.017,0.424,0.457
2011-305,11/1/2011,11/8/2011,STD,0.426,122071918,0.428,154788191,-0.002,0.411,0.445
2011-313,11/9/2011,11/16/2011,STD,0.407,112601365,0.419,151008456,-0.012,0.405,0.442
2011-321,11/17/2011,11/24/2011,STD,0.399,103707959,0.405,149387756,-0.006,0.39,0.425
2011-329,11/25/2011,12/2/2011,STD,0.396,116125628,0.401,146218369,-0.005,0.384,0.443
2011-337,12/3/2011,12/10/2011,STD,0.413,90988320,0.397,145600841,0.016,0.367,0.425
2011-345,12/11/2011,12/18/2011,STD,0.403,92591629,0.394,141959008,0.009,0.369,0.417
2011-353,12/19/2011,12/26/2011,STD,0.382,89835890,0.39,137801633,-0.008,0.371,0.423
2011-361,12/27/2011,1/3/2012,STD,0.375,97315183,0.391,133407496,-0.016,0.359,0.419
2012-001,1/1/2012,1/8/2012,STD,0.366,110828279,0.387,133465446,-0.021,0.352,0.443
2012-009,1/9/2012,1/16/2012,STD,0.366,106963736,0.375,132776636,-0.009,0.35,0.42
2012-017,1/17/2012,1/24/2012,STD,0.372,76025616,0.372,127877472,0,0.353,0.398
2012-025,1/25/2012,2/1/2012,STD,0.361,96352862,0.366,128382554,-0.005,0.343,0.391
2012-033,2/2/2012,2/9/2012,STD,0.36,96603355,0.366,130660570,-0.006,0.345,0.394
2012-041,2/10/2012,2/17/2012,STD,0.358,94653853,0.359,129509639,-0.001,0.332,0.379
2012-049,2/18/2012,2/25/2012,STD,0.345,97719997,0.355,132746270,-0.01,0.332,0.4
2012-057,2/26/2012,3/4/2012,STD,0.365,93213572,0.354,133463347,0.011,0.329,0.384
2012-065,3/5/2012,3/12/2012,STD,0.352,114825243,0.351,138223208,0.001,0.331,0.391
2012-073,3/13/2012,3/20/2012,STD,0.355,102566487,0.356,140284640,-0.001,0.339,0.387
2012-081,3/21/2012,3/28/2012,STD,0.407,124993838,0.37,142033072,0.037,0.344,0.407
2012-089,3/29/2012,4/5/2012,STD,0.425,126105279,0.385,143092746,0.04,0.335,0.425
2012-097,4/6/2012,4/13/2012,STD,0.443,124819160,0.402,144030372,0.041,0.377,0.443
2012-105,4/14/2012,4/21/2012,STD,0.463,124197423,0.423,147410873,0.04,0.388,0.463
2012-113,4/22/2012,4/29/2012,STD,0.467,134563094,0.447,152162446,0.02,0.413,0.478
2012-121,4/30/2012,5/7/2012,STD,0.474,124433925,0.463,155305648,0.011,0.416,0.502
2012-129,5/8/2012,5/15/2012,STD,0.485,133223846,0.484,158410915,0.001,0.462,0.506
2012-137,5/16/2012,5/23/2012,STD,0.503,140686763,0.501,161934168,0.002,0.475,0.536
2012-145,5/24/2012,5/31/2012,STD,0.51,135899531,0.518,165163803,-0.008,0.493,0.539
2012-153,6/1/2012,6/8/2012,STD,0.508,142190222,0.527,166439907,-0.019,0.497,0.549
2012-161,6/9/2012,6/16/2012,STD,0.525,149528094,0.543,167262493,-0.018,0.52,0.57
2012-169,6/17/2012,6/24/2012,STD,0.541,152482037,0.555,167648468,-0.014,0.527,0.578
2012-177,6/25/2012,7/2/2012,STD,0.543,152413522,0.564,168075347,-0.021,0.537,0.584
2012-185,7/3/2012,7/10/2012,STD,0.55,145660421,0.573,168359211,-0.023,0.55,0.595
2012-193,7/11/2012,7/18/2012,STD,0.545,138827686,0.575,168411641,-0.03,0.545,0.591
2012-201,7/19/2012,7/26/2012,STD,0.549,145437964,0.576,168523343,-0.027,0.542,0.595
2012-209,7/27/2012,8/3/2012,STD,0.542,144542221,0.575,168695543,-0.033,0.523,0.593
2012-217,8/4/2012,8/11/2012,STD,0.536,146378888,0.57,168756004,-0.034,0.533,0.586
2012-225,8/12/2012,8/19/2012,STD,0.541,147987590,0.566,168791851,-0.025,0.536,0.583
2012-233,8/20/2012,8/27/2012,STD,0.536,148658905,0.564,168785512,-0.028,0.533,0.59
2012-241,8/28/2012,9/4/2012,STD,0.513,145558733,0.55,168796120,-0.037,0.509,0.575
2012-249,9/5/2012,9/12/2012,STD,0.513,155532147,0.536,168781608,-0.023,0.513,0.559
2012-257,9/13/2012,9/20/2012,STD,0.493,147487056,0.523,168734539,-0.03,0.492,0.548
2012-265,9/21/2012,9/28/2012,STD,0.48,149496749,0.507,168477990,-0.027,0.474,0.53
2012-273,9/29/2012,10/6/2012,STD,0.459,141206809,0.492,167808193,-0.033,0.459,0.508
2012-281,10/7/2012,10/14/2012,STD,0.468,142911916,0.476,166022262,-0.008,0.455,0.5
2012-289,10/15/2012,10/22/2012,STD,0.439,137126599,0.46,163297886,-0.021,0.439,0.474
2012-297,10/23/2012,10/30/2012,STD,0.432,117163201,0.444,157554566,-0.012,0.424,0.457
2012-305,10/31/2012,11/7/2012,STD,0.411,120238640,0.428,154788191,-0.017,0.411,0.445
2012-313,11/8/2012,11/15/2012,STD,0.419,111883467,0.419,151008456,0,0.405,0.442
2012-321,11/16/2012,11/23/2012,STD,0.397,112638192,0.405,149387756,-0.008,0.39,0.425
2012-329,11/24/2012,12/1/2012,STD,0.39,102655403,0.401,146218369,-0.011,0.384,0.443
2012-337,12/2/2012,12/9/2012,STD,0.367,96936584,0.397,145600841,-0.03,0.367,0.425
2012-345,12/10/2012,12/17/2012,STD,0.397,93811962,0.394,141959008,0.003,0.369,0.417
2012-353,12/18/2012,12/25/2012,STD,0.395,76151024,0.39,137801633,0.005,0.371,0.423
2012-361,12/26/2012,1/2/2013,STD,0.411,50781882,0.391,133407496,0.02,0.359,0.419
2013-001,1/1/2013,1/8/2013,STD,0.403,57625507,0.387,133465446,0.016,0.352,0.443
2013-009,1/9/2013,1/16/2013,STD,0.356,57369634,0.375,132776636,-0.019,0.35,0.42
2013-017,1/17/2013,1/24/2013,STD,0.375,83530006,0.372,127877472,0.003,0.353,0.398
2013-025,1/25/2013,2/1/2013,STD,0.363,78110392,0.366,128382554,-0.003,0.343,0.391
2013-033,2/2/2013,2/9/2013,STD,0.362,86065076,0.366,130660570,-0.004,0.345,0.394
2013-041,2/10/2013,2/17/2013,STD,0.361,90344061,0.359,129509639,0.002,0.332,0.379
2013-049,2/18/2013,2/25/2013,STD,0.359,83245021,0.355,132746270,0.004,0.332,0.4
2013-057,2/26/2013,3/5/2013,STD,0.353,80045532,0.354,133463347,-0.001,0.329,0.384
2013-065,3/6/2013,3/13/2013,STD,0.349,92931179,0.351,138223208,-0.002,0.331,0.391
2013-073,3/14/2013,3/21/2013,STD,0.341,96995192,0.356,140284640,-0.015,0.339,0.387
2013-081,3/22/2013,3/29/2013,STD,0.347,100091806,0.37,142033072,-0.023,0.344,0.407
2013-089,3/30/2013,4/6/2013,STD,0.359,116033048,0.385,143092746,-0.026,0.335,0.425
2013-097,4/7/2013,4/14/2013,STD,0.394,100050290,0.402,144030372,-0.008,0.377,0.443
2013-105,4/15/2013,4/22/2013,STD,0.435,104050244,0.423,147410873,0.012,0.388,0.463
2013-113,4/23/2013,4/30/2013,STD,0.418,126269806,0.447,152162446,-0.029,0.413,0.478
2013-121,5/1/2013,5/8/2013,STD,0.416,116213248,0.463,155305648,-0.047,0.416,0.502
2013-129,5/9/2013,5/16/2013,STD,0.462,132468568,0.484,158410915,-0.022,0.462,0.506
2013-137,5/17/2013,5/24/2013,STD,0.483,128094978,0.501,161934168,-0.018,0.475,0.536
2013-145,5/25/2013,6/1/2013,STD,0.496,124553278,0.518,165163803,-0.022,0.493,0.539
2013-153,6/2/2013,6/9/2013,STD,0.503,136691209,0.527,166439907,-0.024,0.497,0.549
2013-161,6/10/2013,6/17/2013,STD,0.525,150777463,0.543,167262493,-0.018,0.52,0.57
2013-169,6/18/2013,6/25/2013,STD,0.542,144782862,0.555,167648468,-0.013,0.527,0.578
2013-177,6/26/2013,7/3/2013,STD,0.537,140677488,0.564,168075347,-0.027,0.537,0.584
2013-185,7/4/2013,7/11/2013,STD,0.55,135830603,0.573,168359211,-0.023,0.55,0.595
2013-193,7/12/2013,7/19/2013,STD,0.577,147145035,0.575,168411641,0.002,0.545,0.591
2013-201,7/20/2013,7/27/2013,STD,0.579,141752289,0.576,168523343,0.003,0.542,0.595
2013-209,7/28/2013,8/4/2013,STD,0.571,139356357,0.575,168695543,-0.004,0.523,0.593
2013-217,8/5/2013,8/12/2013,STD,0.571,137815596,0.57,168756004,0.001,0.533,0.586
2013-225,8/13/2013,8/20/2013,STD,0.571,140632891,0.566,168791851,0.005,0.536,0.583
2013-233,8/21/2013,8/28/2013,STD,0.59,145560417,0.564,168785512,0.026,0.533,0.59
2013-241,8/29/2013,9/5/2013,STD,0.564,147460655,0.55,168796120,0.014,0.509,0.575
2013-249,9/6/2013,9/13/2013,STD,0.553,142077960,0.536,168781608,0.017,0.513,0.559
2013-257,9/14/2013,9/21/2013,STD,0.542,153675664,0.523,168734539,0.019,0.492,0.548
2013-265,9/22/2013,9/29/2013,STD,0.523,139839244,0.507,168477990,0.016,0.474,0.53
2013-273,9/30/2013,10/7/2013,STD,0.503,141388331,0.492,167808193,0.011,0.459,0.508
2013-281,10/8/2013,10/15/2013,STD,0.491,130993323,0.476,166022262,0.015,0.455,0.5
2013-289,10/16/2013,10/23/2013,STD,0.474,134383428,0.46,163297886,0.014,0.439,0.474
2013-297,10/24/2013,10/31/2013,STD,0.453,133694637,0.444,157554566,0.009,0.424,0.457
2013-305,11/1/2013,11/8/2013,STD,0.434,121457541,0.428,154788191,0.006,0.411,0.445
2013-313,11/9/2013,11/16/2013,STD,0.412,127192026,0.419,151008456,-0.007,0.405,0.442
2013-321,11/17/2013,11/24/2013,STD,0.41,115293128,0.405,149387756,0.005,0.39,0.425
2013-329,11/25/2013,12/2/2013,STD,0.399,105483216,0.401,146218369,-0.002,0.384,0.443
2013-337,12/3/2013,12/10/2013,STD,0.39,58583563,0.397,145600841,-0.007,0.367,0.425
2013-345,12/11/2013,12/18/2013,STD,0.398,72879763,0.394,141959008,0.004,0.369,0.417
2013-353,12/19/2013,12/26/2013,STD,0.4,77233359,0.39,137801633,0.01,0.371,0.423
2013-361,12/27/2013,1/3/2014,STD,0.378,82492663,0.391,133407496,-0.013,0.359,0.419
2014-001,1/1/2014,1/8/2014,STD,0.386,72929824,0.387,133465446,-0.001,0.352,0.443
2014-009,1/9/2014,1/16/2014,STD,0.37,86236129,0.375,132776636,-0.005,0.35,0.42
2014-017,1/17/2014,1/24/2014,STD,0.358,90158415,0.372,127877472,-0.014,0.353,0.398
2014-025,1/25/2014,2/1/2014,STD,0.347,83764701,0.366,128382554,-0.019,0.343,0.391
2014-033,2/2/2014,2/9/2014,STD,0.356,45859612,0.366,130660570,-0.01,0.345,0.394
2014-041,2/10/2014,2/17/2014,STD,0.34,72189972,0.359,129509639,-0.019,0.332,0.379
2014-049,2/18/2014,2/25/2014,STD,0.332,86677007,0.355,132746270,-0.023,0.332,0.4
2014-057,2/26/2014,3/5/2014,STD,0.347,78710595,0.354,133463347,-0.007,0.329,0.384
2014-065,3/6/2014,3/13/2014,STD,0.34,106043198,0.351,138223208,-0.011,0.331,0.391
2014-073,3/14/2014,3/21/2014,STD,0.34,106028134,0.356,140284640,-0.016,0.339,0.387
2014-081,3/22/2014,3/29/2014,STD,0.347,103367399,0.37,142033072,-0.023,0.344,0.407
2014-089,3/30/2014,4/6/2014,STD,0.365,103212676,0.385,143092746,-0.02,0.335,0.425
2014-097,4/7/2014,4/14/2014,STD,0.377,122089323,0.402,144030372,-0.025,0.377,0.443
2014-105,4/15/2014,4/22/2014,STD,0.392,125422109,0.423,147410873,-0.031,0.388,0.463
2014-113,4/23/2014,4/30/2014,STD,0.426,126366113,0.447,152162446,-0.021,0.413,0.478
2014-121,5/1/2014,5/8/2014,STD,0.44,136919420,0.463,155305648,-0.023,0.416,0.502
2014-129,5/9/2014,5/16/2014,STD,0.465,128123900,0.484,158410915,-0.019,0.462,0.506
2014-137,5/17/2014,5/24/2014,STD,0.485,139688893,0.501,161934168,-0.016,0.475,0.536
2014-145,5/25/2014,6/1/2014,STD,0.493,124050544,0.518,165163803,-0.025,0.493,0.539
2014-153,6/2/2014,6/9/2014,STD,0.515,134298517,0.527,166439907,-0.012,0.497,0.549
2014-161,6/10/2014,6/17/2014,STD,0.543,140991870,0.543,167262493,0,0.52,0.57
2014-169,6/18/2014,6/25/2014,STD,0.549,136128583,0.555,167648468,-0.006,0.527,0.578
2014-177,6/26/2014,7/3/2014,STD,0.562,142770628,0.564,168075347,-0.002,0.537,0.584
2014-185,7/4/2014,7/11/2014,STD,0.586,150961005,0.573,168359211,0.013,0.55,0.595
2014-193,7/12/2014,7/19/2014,STD,0.57,134472756,0.575,168411641,-0.005,0.545,0.591
2014-201,7/20/2014,7/27/2014,STD,0.577,146731062,0.576,168523343,0.001,0.542,0.595
2014-209,7/28/2014,8/4/2014,STD,0.591,141366490,0.575,168695543,0.016,0.523,0.593
2014-217,8/5/2014,8/12/2014,STD,0.576,139541968,0.57,168756004,0.006,0.533,0.586
2014-225,8/13/2014,8/20/2014,STD,0.579,145037453,0.566,168791851,0.013,0.536,0.583
2014-233,8/21/2014,8/28/2014,STD,0.575,149682837,0.564,168785512,0.011,0.533,0.59
2014-241,8/29/2014,9/5/2014,STD,0.559,145497406,0.55,168796120,0.009,0.509,0.575
2014-249,9/6/2014,9/13/2014,STD,0.55,146945976,0.536,168781608,0.014,0.513,0.559
2014-257,9/14/2014,9/21/2014,STD,0.548,142702264,0.523,168734539,0.025,0.492,0.548
2014-265,9/22/2014,9/29/2014,STD,0.522,149139344,0.507,168477990,0.015,0.474,0.53
2014-273,9/30/2014,10/7/2014,STD,0.504,144484032,0.492,167808193,0.012,0.459,0.508
2014-281,10/8/2014,10/15/2014,STD,0.489,144003746,0.476,166022262,0.013,0.455,0.5
2014-289,10/16/2014,10/23/2014,STD,0.461,139131475,0.46,163297886,0.001,0.439,0.474
2014-297,10/24/2014,10/31/2014,STD,0.449,135703015,0.444,157554566,0.005,0.424,0.457
2014-305,11/1/2014,11/8/2014,STD,0.441,128639689,0.428,154788191,0.013,0.411,0.445
2014-313,11/9/2014,11/16/2014,STD,0.442,104293864,0.419,151008456,0.023,0.405,0.442
2014-321,11/17/2014,11/24/2014,STD,0.41,96573500,0.405,149387756,0.005,0.39,0.425
2014-329,11/25/2014,12/2/2014,STD,0.393,92827687,0.401,146218369,-0.008,0.384,0.443
2014-337,12/3/2014,12/10/2014,STD,0.381,77915613,0.397,145600841,-0.016,0.367,0.425
2014-345,12/11/2014,12/18/2014,STD,0.395,79739789,0.394,141959008,0.001,0.369,0.417
2014-353,12/19/2014,12/26/2014,STD,0.39,86728931,0.39,137801633,0,0.371,0.423
2014-361,12/27/2014,1/3/2015,STD,0.401,74058918,0.391,133407496,0.01,0.359,0.419
2015-001,1/1/2015,1/8/2015,STD,0.413,71449881,0.387,133465446,0.026,0.352,0.443
2015-009,1/9/2015,1/16/2015,STD,0.387,74985627,0.375,132776636,0.012,0.35,0.42
2015-017,1/17/2015,1/24/2015,STD,0.37,91713738,0.372,127877472,-0.002,0.353,0.398
2015-025,1/25/2015,2/1/2015,STD,0.362,98157181,0.366,128382554,-0.004,0.343,0.391
2015-033,2/2/2015,2/9/2015,STD,0.345,89201697,0.366,130660570,-0.021,0.345,0.394
2015-041,2/10/2015,2/17/2015,STD,0.359,99971170,0.359,129509639,0,0.332,0.379
2015-049,2/18/2015,2/25/2015,STD,0.356,85333369,0.355,132746270,0.001,0.332,0.4
2015-057,2/26/2015,3/5/2015,STD,0.361,73381464,0.354,133463347,0.007,0.329,0.384
2015-065,3/6/2015,3/13/2015,STD,0.34,109071167,0.351,138223208,-0.011,0.331,0.391
2015-073,3/14/2015,3/21/2015,STD,0.344,113074071,0.356,140284640,-0.012,0.339,0.387
2015-081,3/22/2015,3/29/2015,STD,0.372,123149364,0.37,142033072,0.002,0.344,0.407
2015-089,3/30/2015,4/6/2015,STD,0.379,123107381,0.385,143092746,-0.006,0.335,0.425
2015-097,4/7/2015,4/14/2015,STD,0.388,117949039,0.402,144030372,-0.014,0.377,0.443
2015-105,4/15/2015,4/22/2015,STD,0.436,127490819,0.423,147410873,0.013,0.388,0.463
2015-113,4/23/2015,4/30/2015,STD,0.45,134332183,0.447,152162446,0.003,0.413,0.478
2015-121,5/1/2015,5/8/2015,STD,0.48,132904774,0.463,155305648,0.017,0.416,0.502
2015-129,5/9/2015,5/16/2015,STD,0.504,121692869,0.484,158410915,0.02,0.462,0.506
2015-137,5/17/2015,5/24/2015,STD,0.536,122734132,0.501,161934168,0.035,0.475,0.536
2015-145,5/25/2015,6/1/2015,STD,0.525,130636523,0.518,165163803,0.007,0.493,0.539
2015-153,6/2/2015,6/9/2015,STD,0.54,139234077,0.527,166439907,0.013,0.497,0.549
2015-161,6/10/2015,6/17/2015,STD,0.57,149090222,0.543,167262493,0.027,0.52,0.57
2015-169,6/18/2015,6/25/2015,STD,0.575,150067601,0.555,167648468,0.02,0.527,0.578
2015-177,6/26/2015,7/3/2015,STD,0.57,132934652,0.564,168075347,0.006,0.537,0.584
2015-185,7/4/2015,7/11/2015,STD,0.588,134270746,0.573,168359211,0.015,0.55,0.595
2015-193,7/12/2015,7/19/2015,STD,0.591,140523330,0.575,168411641,0.016,0.545,0.591
2015-201,7/20/2015,7/27/2015,STD,0.588,146808904,0.576,168523343,0.012,0.542,0.595
2015-209,7/28/2015,8/4/2015,STD,0.593,156589796,0.575,168695543,0.018,0.523,0.593
2015-217,8/5/2015,8/12/2015,STD,0.577,147345717,0.57,168756004,0.007,0.533,0.586
2015-225,8/13/2015,8/20/2015,STD,0.573,142512093,0.566,168791851,0.007,0.536,0.583
2015-233,8/21/2015,8/28/2015,STD,0.569,146210959,0.564,168785512,0.005,0.533,0.59
2015-241,8/29/2015,9/5/2015,STD,0.548,144731992,0.55,168796120,-0.002,0.509,0.575
2015-249,9/6/2015,9/13/2015,STD,0.529,141883031,0.536,168781608,-0.007,0.513,0.559
2015-257,9/14/2015,9/21/2015,STD,0.525,146790618,0.523,168734539,0.002,0.492,0.548
2015-265,9/22/2015,9/29/2015,STD,0.491,141050872,0.507,168477990,-0.016,0.474,0.53
2015-273,9/30/2015,10/7/2015,STD,0.491,137240809,0.492,167808193,-0.001,0.459,0.508
2015-281,10/8/2015,10/15/2015,STD,0.47,148726096,0.476,166022262,-0.006,0.455,0.5
2015-289,10/16/2015,10/23/2015,STD,0.457,138240089,0.46,163297886,-0.003,0.439,0.474
2015-297,10/24/2015,10/31/2015,STD,0.43,122938045,0.444,157554566,-0.014,0.424,0.457
2015-305,11/1/2015,11/8/2015,STD,0.417,121847966,0.428,154788191,-0.011,0.411,0.445
2015-313,11/9/2015,11/16/2015,STD,0.425,120631565,0.419,151008456,0.006,0.405,0.442
2015-321,11/17/2015,11/24/2015,STD,0.424,116722081,0.405,149387756,0.019,0.39,0.425
2015-329,11/25/2015,12/2/2015,STD,0.427,91463824,0.401,146218369,0.026,0.384,0.443
2015-337,12/3/2015,12/10/2015,STD,0.412,104136680,0.397,145600841,0.015,0.367,0.425
2015-345,12/11/2015,12/18/2015,STD,0.417,82390626,0.394,141959008,0.023,0.369,0.417
2015-353,12/19/2015,12/26/2015,STD,0.423,79162619,0.39,137801633,0.033,0.371,0.423
2015-361,12/27/2015,1/3/2016,STD,0.419,59065728,0.391,133407496,0.028,0.359,0.419
2016-001,1/1/2016,1/8/2016,STD,0.443,68540669,0.387,133465446,0.056,0.352,0.443
2016-009,1/9/2016,1/16/2016,STD,0.42,70000284,0.375,132776636,0.045,0.35,0.42
2016-017,1/17/2016,1/24/2016,STD,0.398,66364577,0.372,127877472,0.026,0.353,0.398
2016-025,1/25/2016,2/1/2016,STD,0.381,81621042,0.366,128382554,0.015,0.343,0.391
2016-033,2/2/2016,2/9/2016,STD,0.394,85705535,0.366,130660570,0.028,0.345,0.394
2016-041,2/10/2016,2/17/2016,STD,0.368,78056025,0.359,129509639,0.009,0.332,0.379
2016-049,2/18/2016,2/25/2016,STD,0.361,106002823,0.355,132746270,0.006,0.332,0.4
2016-057,2/26/2016,3/4/2016,STD,0.362,107556340,0.354,133463347,0.008,0.329,0.384
2016-065,3/5/2016,3/12/2016,STD,0.357,107653451,0.351,138223208,0.006,0.331,0.391
2016-073,3/13/2016,3/20/2016,STD,0.387,120120089,0.356,140284640,0.031,0.339,0.387
2016-081,3/21/2016,3/28/2016,STD,0.394,118416037,0.37,142033072,0.024,0.344,0.407
2016-089,3/29/2016,4/5/2016,STD,0.412,127234446,0.385,143092746,0.027,0.335,0.425
2016-097,4/6/2016,4/13/2016,STD,0.421,126879853,0.402,144030372,0.019,0.377,0.443
2016-105,4/14/2016,4/21/2016,STD,0.435,125260150,0.423,147410873,0.012,0.388,0.463
2016-113,4/22/2016,4/29/2016,STD,0.474,124383561,0.447,152162446,0.027,0.413,0.478
2016-121,4/30/2016,5/7/2016,STD,0.483,132154099,0.463,155305648,0.02,0.416,0.502
2016-129,5/8/2016,5/15/2016,STD,0.505,142005146,0.484,158410915,0.021,0.462,0.506
2016-137,5/16/2016,5/23/2016,STD,0.515,125389442,0.501,161934168,0.014,0.475,0.536
2016-145,5/24/2016,5/31/2016,STD,0.539,141660913,0.518,165163803,0.021,0.493,0.539
2016-153,6/1/2016,6/8/2016,STD,0.549,147805550,0.527,166439907,0.022,0.497,0.549
2016-161,6/9/2016,6/16/2016,STD,0.566,154589943,0.543,167262493,0.023,0.52,0.57
2016-169,6/17/2016,6/24/2016,STD,0.567,154226407,0.555,167648468,0.012,0.527,0.578
2016-177,6/25/2016,7/2/2016,STD,0.58,149814485,0.564,168075347,0.016,0.537,0.584
2016-185,7/3/2016,7/10/2016,STD,0.57,142016771,0.573,168359211,-0.003,0.55,0.595
2016-193,7/11/2016,7/18/2016,STD,0.586,153928583,0.575,168411641,0.011,0.545,0.591
2016-201,7/19/2016,7/26/2016,STD,0.584,148200279,0.576,168523343,0.008,0.542,0.595
2016-209,7/27/2016,8/3/2016,STD,0.569,139100152,0.575,168695543,-0.006,0.523,0.593
2016-217,8/4/2016,8/11/2016,STD,0.569,136504400,0.57,168756004,-0.001,0.533,0.586
2016-225,8/12/2016,8/19/2016,STD,0.555,132435365,0.566,168791851,-0.011,0.536,0.583
2016-233,8/20/2016,8/27/2016,STD,0.576,143730829,0.564,168785512,0.012,0.533,0.59
2016-241,8/28/2016,9/4/2016,STD,0.575,152773155,0.55,168796120,0.025,0.509,0.575
2016-249,9/5/2016,9/12/2016,STD,0.559,157296944,0.536,168781608,0.023,0.513,0.559
2016-257,9/13/2016,9/20/2016,STD,0.539,148073226,0.523,168734539,0.016,0.492,0.548
2016-265,9/21/2016,9/28/2016,STD,0.523,149297120,0.507,168477990,0.016,0.474,0.53
2016-273,9/29/2016,10/6/2016,STD,0.508,149862884,0.492,167808193,0.016,0.459,0.508
2016-281,10/7/2016,10/14/2016,STD,0.5,155337381,0.476,166022262,0.024,0.455,0.5
2016-289,10/15/2016,10/22/2016,STD,0.468,143550841,0.46,163297886,0.008,0.439,0.474
2016-297,10/23/2016,10/30/2016,STD,0.454,126211457,0.444,157554566,0.01,0.424,0.457
2016-305,10/31/2016,11/7/2016,STD,0.442,140476480,0.428,154788191,0.014,0.411,0.445
2016-313,11/8/2016,11/15/2016,STD,0.437,139674107,0.419,151008456,0.018,0.405,0.442
2016-321,11/16/2016,11/23/2016,STD,0.425,118491614,0.405,149387756,0.02,0.39,0.425
2016-329,11/24/2016,12/1/2016,STD,0.403,100249687,0.401,146218369,0.002,0.384,0.443
2016-337,12/2/2016,12/9/2016,STD,0.397,81237089,0.397,145600841,0,0.367,0.425
2016-345,12/10/2016,12/17/2016,STD,0.397,65882975,0.394,141959008,0.003,0.369,0.417
2016-353,12/18/2016,12/25/2016,STD,0.404,71963232,0.39,137801633,0.014,0.371,0.423
2016-361,12/26/2016,1/2/2017,STD,0.398,78483402,0.391,133407496,0.007,0.359,0.419
2017-001,1/1/2017,1/8/2017,STD,0.394,66863720,0.387,133465446,0.007,0.352,0.443
2017-009,1/9/2017,1/16/2017,STD,0.386,48556123,0.375,132776636,0.011,0.35,0.42
2017-017,1/17/2017,1/24/2017,STD,0.386,69069753,0.372,127877472,0.014,0.353,0.398
2017-025,1/25/2017,2/1/2017,STD,0.391,72059012,0.366,128382554,0.025,0.343,0.391
2017-033,2/2/2017,2/9/2017,STD,0.369,73696536,0.366,130660570,0.003,0.345,0.394
2017-041,2/10/2017,2/17/2017,STD,0.363,98130625,0.359,129509639,0.004,0.332,0.379
2017-049,2/18/2017,2/25/2017,STD,0.364,98573559,0.355,132746270,0.009,0.332,0.4
2017-057,2/26/2017,3/5/2017,STD,0.37,96920166,0.354,133463347,0.016,0.329,0.384
2017-065,3/6/2017,3/13/2017,STD,0.37,102019392,0.351,138223208,0.019,0.331,0.391
2017-073,3/14/2017,3/21/2017,STD,0.371,108683790,0.356,140284640,0.015,0.339,0.387
2017-081,3/22/2017,3/29/2017,STD,0.381,110511332,0.37,142033072,0.011,0.344,0.407
2017-089,3/30/2017,4/6/2017,STD,0.41,117236280,0.385,143092746,0.025,0.335,0.425
2017-097,4/7/2017,4/14/2017,STD,0.418,123279147,0.402,144030372,0.016,0.377,0.443
2017-105,4/15/2017,4/22/2017,STD,0.436,115634006,0.423,147410873,0.013,0.388,0.463
2017-113,4/23/2017,4/30/2017,STD,0.478,115429249,0.447,152162446,0.031,0.413,0.478
2017-121,5/1/2017,5/8/2017,STD,0.485,138882248,0.463,155305648,0.022,0.416,0.502
2017-129,5/9/2017,5/16/2017,STD,0.506,145464671,0.484,158410915,0.022,0.462,0.506
2017-137,5/17/2017,5/24/2017,STD,0.512,125663829,0.501,161934168,0.011,0.475,0.536
2017-145,5/25/2017,6/1/2017,STD,0.525,144388135,0.518,165163803,0.007,0.493,0.539
2017-153,6/2/2017,6/9/2017,STD,0.538,146901336,0.527,166439907,0.011,0.497,0.549
2017-161,6/10/2017,6/17/2017,STD,0.544,145079790,0.543,167262493,0.001,0.52,0.57
2017-169,6/18/2017,6/25/2017,STD,0.548,141520145,0.555,167648468,-0.007,0.527,0.578
2017-177,6/26/2017,7/3/2017,STD,0.555,143351992,0.564,168075347,-0.009,0.537,0.584
2017-185,7/4/2017,7/11/2017,STD,0.578,150462866,0.573,168359211,0.005,0.55,0.595
2017-193,7/12/2017,7/19/2017,STD,0.583,144120769,0.575,168411641,0.008,0.545,0.591
2017-201,7/20/2017,7/27/2017,STD,0.582,146347197,0.576,168523343,0.006,0.542,0.595
2017-209,7/28/2017,8/4/2017,STD,0.587,143614901,0.575,168695543,0.012,0.523,0.593
2017-217,8/5/2017,8/12/2017,STD,0.586,135873446,0.57,168756004,0.016,0.533,0.586
2017-225,8/13/2017,8/20/2017,STD,0.581,140109389,0.566,168791851,0.015,0.536,0.583
2017-233,8/21/2017,8/28/2017,STD,0.586,144743009,0.564,168785512,0.022,0.533,0.59
